scenario_id,treatment,n,landing_success_rate,final_error_m_mean,final_error_m_sd,final_error_m_min,final_error_m_max,landing_time_s_mean,landing_time_s_sd,landing_time_s_min,landing_time_s_max,total_duration_s_mean,total_duration_s_sd,total_duration_s_min,total_duration_s_max,accepted_detection_rate_mean,accepted_detection_rate_sd,accepted_detection_rate_min,accepted_detection_rate_max,lost_detection_count_mean,lost_detection_count_sd,lost_detection_count_min,lost_detection_count_max,latency_ms_mean_mean,latency_ms_mean_sd,latency_ms_mean_min,latency_ms_mean_max,command_count_mean,command_count_sd,command_count_min,command_count_max,descent_command_count_mean,descent_command_count_sd,descent_command_count_min,descent_command_count_max,mean_abs_error_x_norm_mean,mean_abs_error_x_norm_sd,mean_abs_error_x_norm_min,mean_abs_error_x_norm_max,std_error_x_norm_mean,std_error_x_norm_sd,std_error_x_norm_min,std_error_x_norm_max
P05_S01_H2_Y04_YAW0,T0,10,1.0,0.3996982068036806,0.04015500487761899,0.3593089813669673,0.500196630780288,19.6737,0.8064732619388087,18.006,20.899,26.951999999999998,1.1023741046789273,25.052,28.581,0.8418616760310279,0.03254246692879951,0.7875,0.8947368421052632,12.7,2.6687491868330793,8.0,17.0,110.74971081415883,14.448861961968914,91.66925,133.5396153846154,80.3,4.029061098237818,73.0,86.0,80.3,4.029061098237818,73.0,86.0,0.2911894624694573,0.018737932115492743,0.26264812197004045,0.3241074668036567,0.07613395799137251,0.008974847077293043,0.061593851562456975,0.08695326109782663
P05_S01_H2_Y04_YAW0,T1,10,1.0,0.020533507078419493,0.008793028699132675,0.005942043821812872,0.03710405963405995,26.8151,1.3271846936696907,25.189,29.046,34.0717,1.6113447834374595,32.061,36.813,0.9889520077487992,0.008319051185713385,0.972972972972973,1.0,1.3,0.9486832980505138,0.0,3.0,92.85605072179631,12.54048265440999,79.2009090909091,114.19945945945945,119.2,6.596295256514153,111.0,130.0,79.5,5.441609239104836,72.0,86.0,0.060543419187986405,0.0020878492449056918,0.05735911018828042,0.06455094604492187,0.05375200894909753,0.00412527341436614,0.048293862003324826,0.06139216256630216
P05_S02_H2_Y04_YAW15,T0,10,1.0,0.3800464336941281,0.04441021806648595,0.31395848193787285,0.46157112256185373,15.172999999999998,3.1267291393900924,11.178,18.915,22.5683,3.0730055519348194,19.019,26.246,0.7085078598942383,0.08405492033737105,0.5909090909090909,0.8372093023255814,17.3,6.8807299354388585,7.0,27.0,118.26748881663411,12.843614270968914,101.62944444444445,143.26590909090908,58.3,12.534840334931364,43.0,73.0,58.3,12.534840334931364,43.0,73.0,0.1619368461452518,0.07078911905267571,0.04875457597815472,0.2774794365678515,0.024170742721239966,0.01811038378478963,0.0049803415308928515,0.06748749939505531
P05_S02_H2_Y04_YAW15,T1,10,1.0,0.017179455058831332,0.006772669373683159,0.007117102802261861,0.026943840759014247,22.18,3.463562424248576,17.761,26.882,29.4806,3.342096321505743,25.025,34.238,0.9955577830577831,0.007595649089398167,0.9819819819819819,1.0,0.5,0.8498365855987975,0.0,2.0,80.61280382132323,2.5000102704016656,76.38325,85.02897435897435,97.7,15.613740387520503,79.0,120.0,61.8,14.733182502998687,41.0,85.0,0.0464248628421744,0.023281913150425042,0.0101096604087136,0.07889763355255128,0.035633672862192226,0.01841631919642077,0.008281974703682155,0.06256304996081163
P05_S03_H2_Y08_YAW0,T0,10,1.0,0.7850184555367189,0.03891525184121285,0.7433172644744627,0.8578794072651086,13.4011,2.0802081332832483,11.087,15.62,21.0639,2.1970366127531373,18.255,23.42,0.3843462029364167,0.2813172602555219,0.0,0.6792452830188679,24.3,7.149980574954188,17.0,36.0,180.38258315211837,47.339225885964574,132.0973076923077,266.802,43.0,9.626352718795768,30.0,54.0,43.0,9.626352718795768,30.0,54.0,0.3706509144266745,0.14582030867739162,0.06282462120056152,0.48744504018263385,0.03379235279236435,0.025272695283549793,0.003126062257508087,0.062799475422369
P05_S03_H2_Y08_YAW0,T1,10,1.0,0.01976916853346678,0.011507296907645004,0.0017543251866865795,0.037745122546757964,23.8521,1.6576029178706622,21.291,26.076,31.4988,1.761886602480421,29.204,33.573,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,84.04272618475693,5.9574239784861,77.8432142857143,94.38741379310345,104.7,8.300602387778854,92.0,116.0,52.0,5.312459150169742,45.0,59.0,0.07955975142418958,0.05137306606643071,0.017535835725289804,0.1253397027651469,0.07549268997285472,0.04914072751450479,0.014149570334849227,0.11774328654634815
P05_S04_H2_Y08_YAW15,T0,10,1.0,0.7641961957159948,0.051542161395890046,0.6968782243048846,0.8419657493635678,13.8809,1.3712786774070074,12.037,15.618,21.5413,1.3200169232921894,19.903,23.156,0.39544926755578,0.1781342710729398,0.18,0.6923076923076923,28.9,10.836666154003884,12.0,42.0,175.2896385919537,59.1103295743449,125.44625,312.4914814814815,47.5,9.629237883769527,27.0,62.0,47.5,9.629237883769527,27.0,62.0,0.3159703863910274,0.11137522174656284,0.07232912670482289,0.4658420315495244,0.021483926961372486,0.016618341529193257,0.002065886850381695,0.044010199745011754
P05_S04_H2_Y08_YAW15,T1,10,1.0,0.02652845171437746,0.009941185304559048,0.013390962671621666,0.041017649532215664,23.0627,1.685074152671033,19.963,24.761,30.662799999999997,1.6516080245223645,27.319,32.127,0.9978947368421054,0.006657426652986047,0.9789473684210527,1.0,0.2,0.6324555320336759,0.0,2.0,80.01197171893907,24.488203558316712,52.062990654205606,109.17913461538461,103.1,6.539622822966678,90.0,109.0,53.0,7.52772652709081,40.0,60.0,0.09303621862868443,0.029666928490891586,0.036867157105476625,0.13427954355875651,0.08604270091487407,0.022344241012460072,0.04423986650151826,0.12012102744290366
P05_S05_H3_Y04_YAW0,T0,10,1.0,0.3435520307764746,0.02380003177892176,0.31189644505071257,0.3704754616676113,25.6573,2.3044998999541937,22.36,29.192,33.3626,2.390294133458149,30.018,37.019,0.8863678771095718,0.03013372623490931,0.8476190476190476,0.9291338582677166,12.9,2.998147576235848,9.0,18.0,89.71603160845547,14.078897315387236,76.02276190476191,115.77770491803278,115.1,11.090035567521364,101.0,135.0,115.1,11.090035567521364,101.0,135.0,0.13553273543078492,0.03372508399263106,0.07829172861008417,0.18702691593001375,0.03531657558532242,0.01100019426012614,0.021475971900670496,0.05100771865607801
P05_S05_H3_Y04_YAW0,T1,10,1.0,0.021503824542619544,0.014548244113870056,0.004675245515374724,0.04727773230967795,30.3875,2.3994039653399106,26.91,35.55,37.9561,2.4344590295724156,34.063,43.237,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,76.16789578215705,15.18506688090152,59.4551094890511,95.91343558282209,141.2,10.538817137927134,125.0,163.0,113.4,9.524238085595671,103.0,129.0,0.033952856546679434,0.007142190661467988,0.01721176662328053,0.04243723683887058,0.02429189456921066,0.00855778200020855,0.013109316716216513,0.03822811247245255
P05_S06_H3_Y04_YAW15,T0,10,1.0,0.4756487900176397,0.1488895219732821,0.33548954533443637,0.8462515876111237,25.639099999999996,2.4870920748715535,23.017,29.531,33.0264,2.454997089837604,31.005,37.053,0.8843104008662485,0.09284937545857852,0.6616541353383458,0.9724770642201835,14.1,12.511772234357707,3.0,45.0,72.67158540300362,8.883806053396862,61.170642201834866,92.71406015037593,116.7,11.175866856758809,105.0,133.0,116.7,11.175866856758809,105.0,133.0,0.11952159525442743,0.10520869296979289,0.00938464696290063,0.25954398389132516,0.04369552757676897,0.034191004045010596,0.005871644242391236,0.09626719530767912
P05_S06_H3_Y04_YAW15,T1,10,1.0,0.01651916140248051,0.008605416879044836,0.0032735279675270247,0.03225641805639877,32.874900000000004,2.2937802108213314,30.689,36.696,40.4485,2.3679389186003563,38.043,44.063,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,57.577111706767724,1.8476229242259292,55.62319727891156,62.43690909090909,154.2,10.633281086601006,144.0,169.0,115.5,10.617072205755324,105.0,140.0,0.03443948748742976,0.0166448454317982,0.015267457564671834,0.0572281589169474,0.02533590765313986,0.009047503490142701,0.01536171881000958,0.037385801471411254
P05_S07_H3_Y08_YAW0,T0,10,1.0,0.7660185992886959,0.060849306546924255,0.6753313000189579,0.8894510044738692,26.601,1.9885617918485712,23.384,29.163,34.2173,2.027191985097723,31.022,37.012,0.7310517455731047,0.08298019632759775,0.6173913043478261,0.85,30.2,8.991353871606014,18.0,44.0,110.684444369726,22.95264359028789,79.19509433962264,142.84825242718446,113.3,8.895067297228405,103.0,129.0,113.3,8.895067297228405,103.0,129.0,0.2397816746275399,0.10427637548797684,0.09167313856237075,0.381760975655089,0.04691707915944022,0.030818843033278986,0.004552238013812616,0.09868016099405699
P05_S07_H3_Y08_YAW0,T1,10,1.0,0.02240431927280521,0.009652757499143964,0.010088807914056513,0.03886147343590491,36.8115,3.2380280435955315,32.96,43.407,44.4341,2.9725773123297867,41.008,50.694,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,76.67899092506225,21.019451433419086,55.922716049382714,105.59214689265538,171.8,13.966626889362608,155.0,202.0,113.9,11.08001203368781,102.0,138.0,0.05490650595190637,0.020298923991094557,0.020883014377227612,0.07549938694123298,0.046694157363729796,0.02338703560924003,0.014418698309287834,0.071496856514766
P05_S08_H3_Y08_YAW15,T0,10,1.0,0.7507203754319871,0.03727358462126013,0.6916117190784872,0.79891444429236,25.0928,2.11472066976022,22.805,28.67,32.4356,2.2109617917197144,30.012,36.017,0.6790853651910914,0.081633607698322,0.5849056603773585,0.8473282442748091,34.6,7.306009702825324,20.0,44.0,99.28617871867883,14.332333009678097,77.90671755725191,127.95882978723404,109.9,12.10555428076073,93.0,131.0,109.9,12.10555428076073,93.0,131.0,0.2198040872642617,0.07669318561934231,0.0611356621357932,0.32741906750309574,0.04647739145657361,0.02843370958664625,0.007976775647733605,0.09891481846740267
P05_S08_H3_Y08_YAW15,T1,10,1.0,0.020526713413648597,0.011143552478398447,0.0028311098906858437,0.03306406537329284,35.1336,1.6399701352294318,32.944,37.735,42.5546,1.8452206251707548,40.048,45.056,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,58.49381157467349,1.9848461182229036,56.025705882352945,61.398993710691826,165.5,7.427426651719064,155.0,176.0,109.0,7.972173828734266,99.0,123.0,0.05589286564571766,0.01819208523886208,0.02603340587396731,0.08104668653236245,0.04691979836077073,0.014844972957223767,0.021051955048016643,0.07032071023138961
