category,rank,run_id,scenario_short,scenario_id,treatment,treatment_pair_id,repetition,value,threshold,final_error_m,landing_time_s,accepted_detection_rate,lost_detection_count,latency_ms_mean,latency_ms_max,max_abs_horizontal_command_m_s,terminal_event,terminal_status,aborted,notes
highest_final_error,1,phase05_20260608_130247_e28ac4f0,S07,P05_S07_H3_Y08_YAW0,T0,P05_S07_H3_Y08_YAW0_R09,9,0.8894510044738692,0.7790241781680624,0.8894510044738692,28.527,0.8103448275862069,22,124.47362068965518,341.8,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_final_error,2,phase05_20260509_000310_08ba7fc5,S03,P05_S03_H2_Y08_YAW0,T0,P05_S03_H2_Y08_YAW0_R01,1,0.8578794072651086,0.7790241781680624,0.8578794072651086,15.359,0.6481481481481481,19,136.86185185185184,252.3,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_final_error,3,phase05_20260607_233910_4a8cd7ec,S06,P05_S06_H3_Y04_YAW15,T0,P05_S06_H3_Y04_YAW15_R01,1,0.8462515876111237,0.7790241781680624,0.8462515876111237,29.531,0.6616541353383458,45,92.71406015037593,201.78,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_final_error,4,phase05_20260607_201947_00bacbf8,S04,P05_S04_H2_Y08_YAW15,T0,P05_S04_H2_Y08_YAW15_R05,5,0.8419657493635678,0.7790241781680624,0.8419657493635678,14.449,0.34615384615384615,34,136.49096153846153,205.0,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_final_error,5,phase05_20260607_210540_4e06679b,S04,P05_S04_H2_Y08_YAW15,T0,P05_S04_H2_Y08_YAW15_R09,9,0.8312007365738536,0.7790241781680624,0.8312007365738536,15.007,0.32075471698113206,36,143.5011320754717,209.96,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_final_error,6,phase05_20260509_005615_8743cfbe,S03,P05_S03_H2_Y08_YAW0,T0,P05_S03_H2_Y08_YAW0_R07,7,0.8274030602716206,0.7790241781680624,0.8274030602716206,15.463,0.660377358490566,18,144.58735849056603,409.87,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_final_error,7,phase05_20260509_011732_05fe4345,S03,P05_S03_H2_Y08_YAW0,T0,P05_S03_H2_Y08_YAW0_R10,10,0.8145905890242318,0.7790241781680624,0.8145905890242318,11.452,0.22857142857142856,27,201.2222857142857,314.83,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_final_error,8,phase05_20260509_213059_1d49740f,S04,P05_S04_H2_Y08_YAW15,T0,P05_S04_H2_Y08_YAW15_R04,4,0.8102248264813018,0.7790241781680624,0.8102248264813018,15.016,0.5555555555555556,20,194.828,358.88,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_final_error,9,phase05_20260608_104943_84c26529,S07,P05_S07_H3_Y08_YAW0,T0,P05_S07_H3_Y08_YAW0_R01,1,0.807387433085792,0.7790241781680624,0.807387433085792,28.801,0.85,18,118.60141666666667,315.22,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_final_error,10,phase05_20260509_004101_41d9cbae,S03,P05_S03_H2_Y08_YAW0,T0,P05_S03_H2_Y08_YAW0_R05,5,0.8051358191348175,0.7790241781680624,0.8051358191348175,15.62,0.6792452830188679,17,140.34396226415095,402.04,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
longest_landing_time,1,phase05_20260608_131411_c3801822,S07,P05_S07_H3_Y08_YAW0,T1,P05_S07_H3_Y08_YAW0_R09,9,43.407,34.5722,0.032659382165784186,43.407,1.0,0,86.93163366336633,149.95,0.08559746742248535,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
longest_landing_time,2,phase05_20260608_105539_0b6fcf44,S07,P05_S07_H3_Y08_YAW0,T1,P05_S07_H3_Y08_YAW0_R02,2,38.751,34.5722,0.02242831907983171,38.751,1.0,0,90.60128491620111,171.32,0.06298282146453857,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
longest_landing_time,3,phase05_20260608_112944_5eb17392,S07,P05_S07_H3_Y08_YAW0,T1,P05_S07_H3_Y08_YAW0_R04,4,38.512,34.5722,0.019347660318474753,38.512,1.0,0,56.8020786516854,79.87,0.06388659477233886,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
longest_landing_time,4,phase05_20260608_105157_18017f67,S07,P05_S07_H3_Y08_YAW0,T1,P05_S07_H3_Y08_YAW0_R01,1,38.316,34.5722,0.012934806882752933,38.316,1.0,0,105.59214689265538,246.48,0.09823222160339355,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
longest_landing_time,5,phase05_20260608_131743_02ff76bb,S07,P05_S07_H3_Y08_YAW0,T1,P05_S07_H3_Y08_YAW0_R10,10,38.176,34.5722,0.010088807914056513,38.176,1.0,0,92.12329545454546,160.7,0.06377348899841309,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
longest_landing_time,6,phase05_20260608_145623_5cf1f00c,S08,P05_S08_H3_Y08_YAW15,T1,P05_S08_H3_Y08_YAW15_R01,1,37.735,34.5722,0.013092952376818968,37.735,1.0,0,56.48925287356322,76.06,0.06383078893025716,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
longest_landing_time,7,phase05_20260608_153518_1f649825,S08,P05_S08_H3_Y08_YAW15,T1,P05_S08_H3_Y08_YAW15_R05,5,37.157,34.5722,0.03306406537329284,37.157,1.0,0,56.68102272727273,81.81,0.08157488505045572,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
longest_landing_time,8,phase05_20260607_234238_327228c7,S06,P05_S06_H3_Y04_YAW15,T1,P05_S06_H3_Y04_YAW15_R01,1,36.696,34.5722,0.01567443721633139,36.696,1.0,0,57.24372781065089,82.08,0.03513326644897461,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
longest_landing_time,9,phase05_20260608_160541_dcf510ce,S08,P05_S08_H3_Y08_YAW15,T1,P05_S08_H3_Y08_YAW15_R09,9,36.691,34.5722,0.02215382537633862,36.691,1.0,0,60.194310344827585,94.99,0.09052597681681315,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
longest_landing_time,10,phase05_20260608_154624_690038b4,S08,P05_S08_H3_Y08_YAW15,T1,P05_S08_H3_Y08_YAW15_R07,7,35.982,34.5722,0.0028311098906858437,35.982,1.0,0,56.025705882352945,73.23,0.08474737803141276,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
lowest_detection_rate,1,phase05_20260509_000902_46f50524,S03,P05_S03_H2_Y08_YAW0,T0,P05_S03_H2_Y08_YAW0_R02,2,0.0,0.5903087478559177,0.7583737907720512,11.636,0.0,33,235.24272727272728,316.61,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
lowest_detection_rate,2,phase05_20260509_010204_ea0ffbac,S03,P05_S03_H2_Y08_YAW0,T0,P05_S03_H2_Y08_YAW0_R08,8,0.0,0.5903087478559177,0.7735185790278177,11.791,0.0,30,266.802,417.52,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
lowest_detection_rate,3,phase05_20260607_202802_f1ccaa50,S04,P05_S04_H2_Y08_YAW15,T0,P05_S04_H2_Y08_YAW15_R06,6,0.18,0.5903087478559177,0.7149992194395494,13.019,0.18,41,149.6696,204.06,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
lowest_detection_rate,4,phase05_20260509_212437_424a9706,S04,P05_S04_H2_Y08_YAW15,T0,P05_S04_H2_Y08_YAW15_R03,3,0.18518518518518517,0.5903087478559177,0.7473323880986927,12.037,0.18518518518518517,22,312.4914814814815,532.68,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
lowest_detection_rate,5,phase05_20260509_004647_e3423cd3,S03,P05_S03_H2_Y08_YAW0,T0,P05_S03_H2_Y08_YAW0_R06,6,0.20588235294117646,0.5903087478559177,0.7602368913688732,11.087,0.20588235294117646,27,197.5705882352941,269.68,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
lowest_detection_rate,6,phase05_20260509_002035_66a0dbb4,S03,P05_S03_H2_Y08_YAW0,T0,P05_S03_H2_Y08_YAW0_R04,4,0.21739130434782608,0.5903087478559177,0.7656201725734504,15.54,0.21739130434782608,36,204.41000000000003,291.43,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
lowest_detection_rate,7,phase05_20260509_011732_05fe4345,S03,P05_S03_H2_Y08_YAW0,T0,P05_S03_H2_Y08_YAW0_R10,10,0.22857142857142856,0.5903087478559177,0.8145905890242318,11.452,0.22857142857142856,27,201.2222857142857,314.83,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
lowest_detection_rate,8,phase05_20260607_211514_29807371,S04,P05_S04_H2_Y08_YAW15,T0,P05_S04_H2_Y08_YAW15_R10,10,0.23636363636363636,0.5903087478559177,0.6968782243048846,13.213,0.23636363636363636,42,125.65454545454546,168.86,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
lowest_detection_rate,9,phase05_20260607_210540_4e06679b,S04,P05_S04_H2_Y08_YAW15,T0,P05_S04_H2_Y08_YAW15_R09,9,0.32075471698113206,0.5903087478559177,0.8312007365738536,15.007,0.32075471698113206,36,143.5011320754717,209.96,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
lowest_detection_rate,10,phase05_20260607_201947_00bacbf8,S04,P05_S04_H2_Y08_YAW15,T0,P05_S04_H2_Y08_YAW15_R05,5,0.34615384615384615,0.5903087478559177,0.8419657493635678,14.449,0.34615384615384615,34,136.49096153846153,205.0,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_lost_detection_count,1,phase05_20260607_233910_4a8cd7ec,S06,P05_S06_H3_Y04_YAW15,T0,P05_S06_H3_Y04_YAW15_R01,1,45.0,33.099999999999994,0.8462515876111237,29.531,0.6616541353383458,45,92.71406015037593,201.78,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_lost_detection_count,2,phase05_20260608_113207_9cd80600,S07,P05_S07_H3_Y08_YAW0,T0,P05_S07_H3_Y08_YAW0_R04,4,44.0,33.099999999999994,0.7789475351801048,26.976,0.6173913043478261,44,104.46486956521738,185.96,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_lost_detection_count,3,phase05_20260608_150148_ca339b4f,S08,P05_S08_H3_Y08_YAW15,T0,P05_S08_H3_Y08_YAW15_R02,2,44.0,33.099999999999994,0.7939901523272318,23.848,0.5849056603773585,44,100.46094339622643,175.13,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_lost_detection_count,4,phase05_20260608_154116_86105482,S08,P05_S08_H3_Y08_YAW15,T0,P05_S08_H3_Y08_YAW15_R06,6,44.0,33.099999999999994,0.7646885174835751,25.382,0.6106194690265486,44,98.15893805309736,183.61,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_lost_detection_count,5,phase05_20260607_211514_29807371,S04,P05_S04_H2_Y08_YAW15,T0,P05_S04_H2_Y08_YAW15_R10,10,42.0,33.099999999999994,0.6968782243048846,13.213,0.23636363636363636,42,125.65454545454546,168.86,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_lost_detection_count,6,phase05_20260607_202802_f1ccaa50,S04,P05_S04_H2_Y08_YAW15,T0,P05_S04_H2_Y08_YAW15_R06,6,41.0,33.099999999999994,0.7149992194395494,13.019,0.18,41,149.6696,204.06,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_lost_detection_count,7,phase05_20260608_122434_ac873b0b,S07,P05_S07_H3_Y08_YAW0,T0,P05_S07_H3_Y08_YAW0_R08,8,41.0,33.099999999999994,0.79258283706085,27.644,0.6693548387096774,41,93.13564516129033,191.39,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_lost_detection_count,8,phase05_20260607_204013_33ccace8,S04,P05_S04_H2_Y08_YAW15,T0,P05_S04_H2_Y08_YAW15_R08,8,40.0,33.099999999999994,0.7236493853820917,15.618,0.3548387096774194,40,139.83016129032256,197.61,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_lost_detection_count,9,phase05_20260608_161033_b151d6ea,S08,P05_S08_H3_Y08_YAW15,T0,P05_S08_H3_Y08_YAW15_R10,10,40.0,33.099999999999994,0.6916117190784872,23.917,0.6261682242990654,40,95.05514018691588,172.24,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_lost_detection_count,10,phase05_20260608_120603_2c9dc18c,S07,P05_S07_H3_Y08_YAW0,T0,P05_S07_H3_Y08_YAW0_R06,6,39.0,33.099999999999994,0.6917838123224758,23.906,0.6355140186915887,39,95.00850467289719,169.65,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_mean_latency,1,phase05_20260509_212437_424a9706,S04,P05_S04_H2_Y08_YAW15,T0,P05_S04_H2_Y08_YAW15_R03,3,312.4914814814815,139.8815413877054,0.7473323880986927,12.037,0.18518518518518517,22,312.4914814814815,532.68,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_mean_latency,2,phase05_20260509_010204_ea0ffbac,S03,P05_S03_H2_Y08_YAW0,T0,P05_S03_H2_Y08_YAW0_R08,8,266.802,139.8815413877054,0.7735185790278177,11.791,0.0,30,266.802,417.52,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_mean_latency,3,phase05_20260509_000902_46f50524,S03,P05_S03_H2_Y08_YAW0,T0,P05_S03_H2_Y08_YAW0_R02,2,235.24272727272728,139.8815413877054,0.7583737907720512,11.636,0.0,33,235.24272727272728,316.61,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_mean_latency,4,phase05_20260509_211541_7721a9cb,S04,P05_S04_H2_Y08_YAW15,T0,P05_S04_H2_Y08_YAW15_R01,1,219.36681818181816,139.8815413877054,0.7944885730495378,15.474,0.5,22,219.36681818181816,342.86,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
