scope,scenario_short,scenario_id,metric,n,mean,median,sd,min,q1,q3,max,direction
global,ALL,,final_error_m_delta_t0_minus_t1,80,0.5624918107810839,0.6602369064638849,0.19728752736939448,0.2646806864157332,0.3592626763391891,0.7472206620614343,0.8567916223080849,T1 lower final error
global,ALL,,landing_time_s_delta_t0_minus_t1,80,-8.2498125,-8.417,2.664936976924785,-14.879999999999995,-9.772250000000001,-6.985500000000001,0.8389999999999986,T1 longer landing time
global,ALL,,accepted_detection_rate_delta_t1_minus_t0,80,0.30892801656140106,0.2518037518037518,0.22863977421567303,0.02752293577981646,0.14629455909943717,0.38264585655890004,1.0,T1 higher detection rate
scenario,S01,P05_S01_H2_Y04_YAW0,final_error_m_delta_t0_minus_t1,10,0.3791646997252611,0.37841708408536684,0.04531460046091267,0.3284309044515907,0.3540835018254706,0.3904280570813654,0.49031055803838763,T1 lower final error
scenario,S01,P05_S01_H2_Y04_YAW0,landing_time_s_delta_t0_minus_t1,10,-7.141400000000001,-7.715000000000002,1.2821611269866022,-8.5,-8.22875,-5.868750000000001,-5.3820000000000014,T1 longer landing time
scenario,S01,P05_S01_H2_Y04_YAW0,accepted_detection_rate_delta_t1_minus_t0,10,0.14709033171777125,0.1554261940718849,0.03747067535963347,0.07823613086770986,0.1189930098892096,0.17584876543209882,0.19464285714285712,T1 higher detection rate
scenario,S02,P05_S02_H2_Y04_YAW15,final_error_m_delta_t0_minus_t1,10,0.36286697863529677,0.3724758168306035,0.045380517938411025,0.2973409746606834,0.3310399438922983,0.3870814766622676,0.44327159497534363,T1 lower final error
scenario,S02,P05_S02_H2_Y04_YAW15,landing_time_s_delta_t0_minus_t1,10,-7.007,-7.234499999999999,2.106099818252792,-9.550999999999998,-8.27125,-6.20125,-2.158999999999999,T1 longer landing time
scenario,S02,P05_S02_H2_Y04_YAW15,accepted_detection_rate_delta_t1_minus_t0,10,0.2870499231635449,0.2758467023172905,0.08303270446093075,0.16279069767441856,0.22287581699346407,0.3508402684995895,0.40909090909090906,T1 higher detection rate
scenario,S03,P05_S03_H2_Y08_YAW0,final_error_m_delta_t0_minus_t1,10,0.7652492870032521,0.753713143725665,0.03701190927652401,0.7187520424965284,0.7387714106556799,0.7892378050706763,0.825648735084934,T1 lower final error
scenario,S03,P05_S03_H2_Y08_YAW0,landing_time_s_delta_t0_minus_t1,10,-10.451,-9.997000000000002,1.5827238827062946,-14.064,-11.228750000000002,-9.25025,-8.908,T1 longer landing time
scenario,S03,P05_S03_H2_Y08_YAW0,accepted_detection_rate_delta_t1_minus_t0,10,0.6156537970635834,0.6107142857142858,0.2813172602555219,0.3207547169811321,0.3475783475783476,0.7912404092071612,1.0,T1 higher detection rate
scenario,S04,P05_S04_H2_Y08_YAW15,final_error_m_delta_t0_minus_t1,10,0.7376677440016175,0.7241177609050631,0.05332834581579943,0.6686950224561303,0.7002868070998114,0.7741960738996632,0.817809773902232,T1 lower final error
scenario,S04,P05_S04_H2_Y08_YAW15,landing_time_s_delta_t0_minus_t1,10,-9.1818,-9.092500000000001,1.1404287497837533,-11.112000000000002,-10.034500000000001,-8.56225,-7.362,T1 longer landing time
scenario,S04,P05_S04_H2_Y08_YAW15,accepted_detection_rate_delta_t1_minus_t0,10,0.6024454692863253,0.6495037220843672,0.18070730378637978,0.3076923076923077,0.4583333333333333,0.7425385934819897,0.8200000000000001,T1 higher detection rate
scenario,S05,P05_S05_H3_Y04_YAW0,final_error_m_delta_t0_minus_t1,10,0.32204820623385505,0.3254728990964719,0.02378501693581927,0.2646806864157332,0.31832492355695474,0.3353482060303814,0.3514642305931583,T1 lower final error
scenario,S05,P05_S05_H3_Y04_YAW0,landing_time_s_delta_t0_minus_t1,10,-4.7302,-4.776999999999999,2.477692824652267,-7.655000000000001,-6.257999999999999,-3.9837500000000015,0.8389999999999986,T1 longer landing time
scenario,S05,P05_S05_H3_Y04_YAW0,accepted_detection_rate_delta_t1_minus_t0,10,0.1136321228904283,0.11517857142857146,0.03013372623490931,0.07086614173228345,0.0912202380952381,0.1419343153827578,0.1523809523809524,T1 higher detection rate
scenario,S06,P05_S06_H3_Y04_YAW15,final_error_m_delta_t0_minus_t1,10,0.4591296286151592,0.40669937635945264,0.14893237204730253,0.31898380603154736,0.37191931523586264,0.47766353726472943,0.8305771503947923,T1 lower final error
scenario,S06,P05_S06_H3_Y04_YAW15,landing_time_s_delta_t0_minus_t1,10,-7.2358,-7.4830000000000005,1.9418990018364326,-9.314,-8.001750000000003,-7.063750000000001,-2.189,T1 longer landing time
scenario,S06,P05_S06_H3_Y04_YAW15,accepted_detection_rate_delta_t1_minus_t0,10,0.11568959913375162,0.08488733488733491,0.09284937545857852,0.02752293577981646,0.05936657681940702,0.1417254763585039,0.33834586466165417,T1 higher detection rate
scenario,S07,P05_S07_H3_Y08_YAW0,final_error_m_delta_t0_minus_t1,10,0.7436142800158907,0.75447668338099,0.06078791680252431,0.6568519081869666,0.7000656279025752,0.7674827701956122,0.8567916223080849,T1 lower final error
scenario,S07,P05_S07_H3_Y08_YAW0,landing_time_s_delta_t0_minus_t1,10,-10.210500000000001,-10.012,2.964547454690362,-14.879999999999995,-12.140500000000003,-9.520500000000004,-5.3160000000000025,T1 longer landing time
scenario,S07,P05_S07_H3_Y08_YAW0,accepted_detection_rate_delta_t1_minus_t0,10,0.2689482544268953,0.2731269463271661,0.08298019632759775,0.15000000000000002,0.20011174968071524,0.3289362519201229,0.3826086956521739,T1 higher detection rate
scenario,S08,P05_S08_H3_Y08_YAW15,final_error_m_delta_t0_minus_t1,10,0.7301936620183385,0.7277579696318464,0.041000887491456944,0.6636219047408033,0.7075332923663087,0.758691397279215,0.7858214919155411,T1 lower final error
scenario,S08,P05_S08_H3_Y08_YAW15,landing_time_s_delta_t0_minus_t1,10,-10.0408,-10.086000000000002,1.2582241277115769,-12.058,-10.84975,-9.120499999999996,-8.021,T1 longer landing time
scenario,S08,P05_S08_H3_Y08_YAW15,accepted_detection_rate_delta_t1_minus_t0,10,0.3209146348089086,0.34026730981810877,0.081633607698322,0.15267175572519087,0.2750101584721658,0.38549334215532216,0.41509433962264153,T1 higher detection rate
